Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
20.0,Male,120.5,1.73,186,153,67,1.01,850.0,Cardio,29.3,3.4,3.0,2,40.26
18.0,Male,70.0,1.61,173,168,71,1.3,1201.0,Strength,23.9,2.5,2.0,1,27.01
54.0,Female,78.1,1.6,198,145,73,1.1,718.0,Yoga,32.9,2.4,4.0,2,30.51
59.0,Female,60.4,1.76,194,120,53,1.72,929.0,Cardio,18.8,2.7,5.0,3,19.5
35.0,Female,78.0,1.67,198,168,57,1.13,949.0,Strength,33.3,2.5,4.0,2,27.97
48.0,Male,87.1,1.76,183,156,67,1.81,1398.0,Strength,11.6,3.5,5.0,3,28.12
47.0,Male,88.4,1.6,186,126,60,1.86,1160.0,HIIT,14.2,3.5,5.0,3,34.53
25.0,Female,41.2,1.62,193,144,64,1.49,1073.0,Yoga,28.9,2.1,4.0,2,15.7
53.0,Female,47.8,1.76,164,149,74,1.06,711.0,HIIT,28.4,1.5,4.0,2,15.43
52.0,Female,79.9,1.51,190,142,54,0.75,479.0,Strength,,2.6,3.0,1,35.04
40.0,Male,63.0,2.0,176,161,71,1.42,1257.0,Strength,26.8,2.9,4.0,2,15.75
47.0,Female,66.8,1.75,199,146,56,1.13,742.0,Strength,,2.5,,2,21.81
52.0,Male,50.3,1.78,170,132,67,0.85,555.0,HIIT,24.5,2.3,2.0,1,15.88
28.0,Male,114.2,1.87,184,166,55,1.05,959.0,Strength,20.2,3.2,3.0,2,32.66
55.0,Male,129.9,1.73,187,155,60,0.69,529.0,Yoga,21.7,3.1,3.0,1,43.4
,Male,86.7,1.62,174,122,55,1.52,1020.0,Strength,13.9,3.5,4.0,3,33.04
31.0,Female,63.1,1.64,184,125,51,1.54,962.0,Cardio,19.0,2.7,4.0,3,23.46
48.0,Female,69.1,1.6,191,166,53,1.34,1001.0,Strength,26.1,2.0,4.0,2,26.99
40.0,Female,62.6,1.53,197,143,73,1.93,1380.0,Cardio,18.1,2.7,5.0,3,26.74
49.0,Male,85.0,1.68,197,163,74,1.82,1468.0,HIIT,11.3,3.5,4.0,3,30.12
45.0,Male,118.4,1.95,178,168,59,1.06,881.0,Yoga,24.9,2.4,3.0,2,31.14
46.0,Male,45.0,1.77,185,162,58,1.48,1187.0,Cardio,29.1,3.6,3.0,2,14.36
42.0,Male,79.3,1.93,181,147,50,1.22,888.0,Cardio,27.3,3.3,2.0,1,21.29
50.0,Female,69.3,1.68,182,135,51,1.2,729.0,HIIT,30.3,2.0,2.0,1,24.55
54.0,Male,71.6,1.86,160,147,70,1.14,830.0,Yoga,25.3,2.2,3.0,2,20.7
55.0,Male,91.8,1.78,165,153,65,1.44,1091.0,Cardio,23.5,3.4,3.0,1,28.97
35.0,Male,59.2,1.66,197,161,59,1.3,1151.0,Strength,21.3,3.2,3.0,1,21.48
31.0,Female,64.4,1.7,160,144,70,1.97,1418.0,Strength,17.3,2.7,5.0,3,22.28
43.0,Male,55.5,1.82,160,124,66,1.08,663.0,Strength,20.1,2.0,3.0,1,16.76
38.0,Male,123.3,1.62,161,165,65,1.34,1216.0,Yoga,21.2,2.3,4.0,2,46.98
49.0,Male,115.3,1.91,161,125,61,1.38,854.0,HIIT,29.2,3.2,2.0,1,31.61
22.0,Male,117.3,1.68,172,134,57,1.24,914.0,Yoga,28.5,2.7,3.0,2,41.56
47.0,Male,80.0,1.77,171,149,68,0.72,531.0,HIIT,28.2,3.5,3.0,1,25.54
53.0,Female,55.8,1.55,171,141,54,1.12,711.0,Strength,27.0,1.8,4.0,2,23.23
37.0,Female,73.5,1.69,174,131,66,0.54,354.0,Cardio,27.5,1.6,2.0,1,25.73
25.0,Female,59.4,1.51,185,161,54,1.62,1304.0,Cardio,19.8,2.7,5.0,3,26.05
31.0,Male,78.8,1.71,177,121,59,1.49,992.0,HIIT,24.7,2.5,4.0,2,26.95
52.0,Male,72.3,1.94,171,121,56,1.46,874.0,Yoga,21.1,2.9,3.0,2,19.21
,Female,64.3,1.62,174,145,62,1.76,1276.0,Yoga,19.8,2.7,5.0,3,24.5
49.0,Male,82.3,1.84,192,146,71,1.29,932.0,Strength,28.4,3.4,4.0,2,24.31
55.0,Female,42.9,1.69,186,140,56,0.9,567.0,Yoga,34.7,2.4,2.0,1,15.02
31.0,Female,53.3,1.64,183,141,70,0.57,402.0,Strength,29.4,2.4,3.0,1,19.82
25.0,Female,41.2,1.62,193,144,64,1.49,1073.0,Yoga,,2.1,4.0,2,15.7
42.0,Female,72.4,1.69,177,148,61,1.07,713.0,Yoga,29.0,2.3,3.0,2,25.35
,Female,56.6,1.57,170,167,72,1.65,1378.0,HIIT,15.7,2.7,4.0,3,22.96
20.0,Male,55.0,1.6,172,168,67,1.12,1035.0,Yoga,24.0,3.2,4.0,2,21.48
29.0,Male,87.0,1.86,177,123,72,1.52,1028.0,Yoga,11.0,3.5,4.0,3,25.15
50.0,Female,61.6,1.75,192,166,74,1.22,911.0,Strength,,2.2,4.0,2,20.11
31.0,Female,66.6,1.67,184,137,71,1.02,699.0,Yoga,31.0,1.5,4.0,2,23.88
21.0,Male,67.0,1.61,161,152,74,1.32,1104.0,Yoga,22.0,2.1,3.0,2,25.85
51.0,Male,59.0,1.65,198,153,53,1.22,924.0,HIIT,20.7,2.3,3.0,2,21.67
32.0,Female,68.1,1.66,167,122,54,1.11,677.0,Cardio,33.4,2.3,4.0,2,24.71
,Male,72.1,1.83,175,133,58,1.13,744.0,Yoga,21.4,2.8,3.0,2,21.53
,Female,72.7,1.8,162,166,50,0.79,590.0,Cardio,32.8,2.1,3.0,1,22.44
20.0,Female,75.8,1.78,197,133,53,1.42,944.0,HIIT,27.4,2.0,4.0,2,23.92
39.0,Male,127.5,1.82,180,161,70,1.26,1116.0,Strength,29.8,3.0,3.0,2,38.49
44.0,Female,48.0,1.76,189,124,52,0.88,491.0,Yoga,28.6,2.6,2.0,1,15.5
52.0,Male,50.3,1.78,170,132,67,0.85,555.0,HIIT,24.5,2.3,2.0,1,15.88
52.0,Female,70.6,1.58,181,164,67,1.02,753.0,HIIT,34.9,2.0,3.0,2,28.28
25.0,Female,64.4,1.71,179,167,61,1.12,935.0,HIIT,27.1,1.8,3.0,1,22.02
37.0,Female,72.9,1.76,192,121,52,1.21,732.0,Strength,27.5,1.9,3.0,2,23.53
28.0,Female,52.0,1.61,168,164,70,1.32,1082.0,Yoga,27.9,2.0,3.0,2,20.06
51.0,Female,74.6,1.55,177,132,50,0.71,422.0,Cardio,33.3,2.1,2.0,1,31.05
53.0,Male,51.7,1.7,175,152,72,1.15,865.0,HIIT,23.6,3.5,3.0,2,17.89
49.0,Male,82.8,1.95,183,159,73,1.91,1503.0,Yoga,14.3,3.5,5.0,3,21.78
21.0,Female,61.3,1.57,191,152,64,1.94,1474.0,HIIT,17.2,2.7,4.0,3,24.87
25.0,Male,112.4,1.96,188,135,72,1.42,1054.0,Cardio,23.2,2.5,2.0,1,29.26
45.0,Male,93.0,1.91,175,143,55,1.03,729.0,Cardio,27.3,3.7,3.0,2,25.49
41.0,Male,74.3,1.61,160,136,51,1.06,714.0,Strength,24.8,3.5,4.0,2,28.66
39.0,Female,56.0,1.6,184,151,69,0.89,672.0,Yoga,32.6,2.0,2.0,1,21.87
43.0,Male,113.2,1.83,161,134,63,1.45,962.0,Yoga,29.9,2.9,4.0,2,33.8
59.0,Male,85.5,1.67,190,144,71,1.99,1418.0,Cardio,15.0,3.5,5.0,3,30.66
56.0,Female,45.1,1.73,165,129,73,0.83,482.0,Strength,25.4,2.6,3.0,1,15.07
59.0,Female,60.7,1.73,185,154,55,1.03,714.0,Yoga,33.8,2.5,3.0,2,20.28
34.0,Female,59.0,1.62,178,150,56,1.13,847.0,Cardio,,2.4,4.0,2,22.48
41.0,Male,81.6,1.87,167,128,59,1.87,1185.0,HIIT,10.2,3.5,5.0,3,23.33
,Male,70.2,1.89,194,127,51,0.7,440.0,Yoga,29.6,2.6,3.0,1,19.65
53.0,Male,73.4,1.76,169,151,70,1.09,815.0,Yoga,27.9,2.8,3.0,2,23.7
56.0,Male,82.5,1.87,187,124,74,1.51,927.0,Yoga,13.2,3.5,5.0,3,23.59
19.0,Male,89.0,1.77,175,127,72,1.5,1048.0,Strength,28.9,3.7,4.0,2,28.41
22.0,Male,102.1,1.85,190,157,67,1.48,1278.0,Cardio,28.1,2.4,4.0,2,29.83
33.0,Male,102.6,1.75,186,140,53,1.4,1078.0,HIIT,27.9,2.2,3.0,2,33.5
59.0,Male,88.1,1.76,187,168,74,1.35,1123.0,Strength,26.9,3.0,3.0,2,28.44
56.0,Male,58.7,1.86,187,159,65,1.09,858.0,Cardio,22.6,3.3,3.0,2,16.97
31.0,Female,42.3,1.6,163,163,70,1.09,888.0,Cardio,25.1,1.9,3.0,2,16.52
44.0,Male,98.0,1.83,194,130,56,1.28,824.0,Cardio,25.7,3.5,4.0,2,29.26
18.0,Female,58.1,1.61,175,150,71,1.9,1425.0,Yoga,15.3,2.7,4.0,3,22.41
31.0,Male,70.2,1.98,199,129,61,0.71,504.0,Yoga,24.2,2.5,2.0,1,17.91
40.0,Female,72.2,1.6,173,130,67,0.87,566.0,Yoga,29.2,1.9,3.0,1,28.2
56.0,Male,109.6,1.66,188,166,66,1.29,1060.0,Cardio,20.5,3.1,3.0,2,39.77
34.0,Female,51.0,1.62,162,158,53,1.42,1122.0,Yoga,30.8,2.4,3.0,2,19.43
39.0,Female,56.0,1.6,184,151,69,0.89,672.0,Yoga,,2.0,2.0,1,21.87
35.0,Female,78.0,1.67,198,168,57,1.13,949.0,Strength,33.3,2.5,4.0,2,27.97
25.0,Male,95.6,1.9,190,160,72,1.47,1294.0,Cardio,23.8,2.4,4.0,2,26.48
53.0,Male,94.1,1.95,177,138,50,0.89,608.0,HIIT,28.6,3.5,3.0,1,24.75
40.0,Female,57.7,1.69,184,156,53,1.18,920.0,HIIT,33.1,2.4,4.0,2,20.2
53.0,Female,44.7,1.79,164,160,72,1.34,965.0,Yoga,26.7,2.1,3.0,2,13.95
24.0,Male,88.2,1.79,177,154,65,1.76,1491.0,HIIT,,3.5,4.0,3,27.53
19.0,Female,48.3,1.52,186,136,56,0.96,653.0,Strength,26.3,1.6,2.0,1,20.91
20.0,Male,85.7,1.92,172,136,58,1.72,1287.0,Cardio,10.5,3.5,5.0,3,23.25
,Female,43.8,1.75,180,160,73,1.39,1001.0,Cardio,25.1,1.7,2.0,1,14.3
54.0,Female,47.8,1.6,171,155,55,1.19,830.0,Cardio,26.0,2.3,4.0,2,18.67
18.0,Female,65.3,1.55,184,161,59,1.42,1143.0,Yoga,28.5,2.2,3.0,2,27.18
53.0,Female,47.8,1.76,164,149,74,1.06,711.0,HIIT,28.4,1.5,4.0,2,15.43
48.0,Male,83.9,1.82,176,149,70,1.9,1401.0,HIIT,13.1,3.5,5.0,3,25.33
38.0,Male,85.8,1.8,168,149,68,1.72,1410.0,Cardio,10.1,3.5,,3,26.48
33.0,Female,53.6,1.52,194,126,73,1.02,643.0,Cardio,30.9,2.3,2.0,1,23.2
42.0,Male,62.9,1.98,173,126,61,1.42,886.0,Yoga,28.5,3.4,4.0,2,16.04
55.0,Female,42.9,1.69,186,140,56,0.9,567.0,Yoga,34.7,2.4,2.0,1,15.02
42.0,Male,73.5,1.63,188,136,68,0.52,350.0,Strength,26.1,3.2,3.0,1,27.66
24.0,Female,62.9,1.79,180,135,59,1.42,958.0,Cardio,,2.3,4.0,2,19.63
40.0,Female,56.2,1.79,198,153,57,1.79,1369.0,Yoga,17.6,2.7,5.0,3,17.54
47.0,Male,86.6,1.99,182,153,70,1.98,1500.0,Strength,10.6,3.5,4.0,3,21.87
23.0,Male,81.4,1.85,194,150,74,1.6,1320.0,Cardio,12.4,3.5,4.0,3,23.78
38.0,Male,68.7,1.92,170,150,73,1.31,1081.0,Cardio,29.0,3.0,4.0,2,18.64
46.0,Female,74.9,1.53,179,151,66,1.3,883.0,HIIT,33.9,2.1,4.0,2,32.0
42.0,Male,70.2,1.87,188,165,65,1.38,1127.0,HIIT,22.7,3.4,3.0,2,20.07
20.0,Male,120.5,1.73,186,153,67,1.01,850.0,Cardio,29.3,3.4,3.0,2,40.26
52.0,Female,79.9,1.51,190,142,54,0.75,479.0,Strength,31.5,2.6,3.0,1,35.04
34.0,Female,75.6,1.6,193,130,51,0.64,416.0,HIIT,29.1,2.7,2.0,1,29.53
59.0,Male,89.4,1.62,198,125,59,1.43,885.0,Strength,23.5,3.6,3.0,2,34.06
30.0,Male,64.1,1.87,182,142,67,0.64,500.0,Yoga,26.2,2.1,2.0,1,18.33
20.0,Male,124.3,1.82,194,145,63,1.25,997.0,Cardio,22.4,3.2,3.0,2,37.53
37.0,Female,54.6,1.57,170,150,62,1.31,982.0,Strength,32.1,2.4,3.0,1,22.15
24.0,Female,69.7,1.75,166,146,60,1.41,1029.0,Cardio,32.5,2.0,3.0,1,22.76
54.0,Male,86.0,1.93,171,163,51,1.74,1404.0,Strength,12.9,3.5,5.0,3,23.09
58.0,Female,49.7,1.67,191,125,72,1.38,776.0,Strength,31.9,2.3,4.0,2,17.82
21.0,Male,62.6,1.81,164,150,62,1.3,1072.0,Strength,27.6,3.5,4.0,2,19.11
26.0,Male,51.9,2.0,173,133,54,0.75,549.0,HIIT,26.6,2.3,2.0,1,12.97
18.0,Male,70.0,1.61,173,168,71,1.3,1201.0,Strength,,2.5,2.0,1,27.01
37.0,Male,76.3,1.77,180,128,57,1.36,957.0,HIIT,27.3,2.1,4.0,2,24.35
34.0,Female,66.5,1.69,191,157,52,0.81,636.0,Cardio,28.1,2.3,3.0,1,23.28
58.0,Male,109.7,1.75,181,168,54,1.01,840.0,HIIT,22.1,2.7,,1,35.82
43.0,Male,102.6,1.72,190,147,58,0.82,597.0,Strength,27.5,2.0,2.0,1,34.68
22.0,Male,107.4,1.74,195,138,63,1.34,1017.0,Strength,22.0,2.2,2.0,1,35.47
41.0,Male,67.0,1.77,161,149,50,1.22,900.0,HIIT,,2.6,3.0,2,21.39
47.0,Female,49.9,1.69,178,147,64,1.48,979.0,HIIT,26.0,1.7,3.0,2,17.47
49.0,Male,57.2,1.89,192,135,62,1.14,762.0,Cardio,21.1,3.5,2.0,1,16.01
26.0,Male,127.6,1.73,167,160,62,1.32,1162.0,Strength,27.3,2.9,3.0,1,42.63
26.0,Female,76.7,1.63,199,139,72,1.08,751.0,Strength,25.6,1.7,2.0,1,28.87
41.0,Male,66.1,1.69,187,143,68,0.77,545.0,Yoga,27.4,3.4,2.0,1,23.14
43.0,Male,81.0,1.78,188,152,65,1.58,1189.0,Yoga,12.4,3.5,5.0,3,25.56
29.0,Male,84.9,1.72,187,140,51,1.79,1378.0,Yoga,14.3,3.5,4.0,3,28.7
42.0,Male,79.3,1.93,181,147,50,1.22,888.0,Cardio,27.3,3.3,2.0,1,21.29
30.0,Male,91.4,1.99,171,152,60,1.37,1145.0,HIIT,23.0,3.7,3.0,2,23.08
41.0,Male,51.5,1.8,166,126,60,1.09,680.0,Strength,26.7,2.1,4.0,2,15.9
22.0,Male,106.8,1.82,170,130,50,1.0,715.0,Yoga,28.2,2.3,4.0,2,32.24
38.0,Female,56.3,1.6,180,142,53,1.21,859.0,Yoga,28.8,1.9,4.0,2,21.99
51.0,Female,78.1,1.51,193,134,74,0.92,555.0,Strength,31.1,2.6,3.0,1,34.25
46.0,Male,59.4,1.68,165,147,62,1.16,844.0,Strength,20.2,2.5,4.0,2,21.05
53.0,Male,73.4,1.76,169,151,70,1.09,815.0,Yoga,27.9,2.8,3.0,2,23.7
53.0,Male,94.1,1.95,177,138,50,0.89,608.0,HIIT,28.6,3.5,3.0,1,24.75
31.0,Female,53.5,1.76,172,133,69,1.22,811.0,Strength,27.6,1.8,4.0,2,17.27
31.0,Female,77.4,1.71,190,137,52,1.26,863.0,Cardio,26.2,1.8,4.0,2,26.47
,Male,82.7,1.99,179,146,59,1.69,1357.0,HIIT,14.6,3.5,5.0,3,20.88
21.0,Female,60.0,1.7,179,123,52,1.97,1212.0,Strength,19.1,2.7,5.0,3,20.76
50.0,Female,73.6,1.55,183,145,74,0.89,581.0,HIIT,33.9,2.1,3.0,1,30.63
36.0,Male,110.2,1.77,191,156,74,1.19,1021.0,HIIT,26.5,3.4,2.0,1,35.18
18.0,Female,66.9,1.75,170,122,61,0.94,573.0,Yoga,26.8,1.7,2.0,1,21.84
42.0,Female,63.7,1.71,173,169,62,1.42,1080.0,Yoga,26.1,1.8,3.0,2,21.78
24.0,Female,67.7,1.56,177,138,66,1.42,980.0,HIIT,27.0,2.1,3.0,2,27.82
39.0,Female,56.0,1.6,184,151,69,0.89,672.0,Yoga,32.6,2.0,2.0,1,21.87
28.0,Male,101.8,1.84,169,136,64,1.08,808.0,Cardio,29.7,2.7,3.0,1,30.07
21.0,Female,55.2,1.55,163,161,53,1.37,1103.0,Strength,31.7,1.7,4.0,2,22.98
58.0,Female,46.1,1.67,187,129,70,1.28,743.0,Yoga,25.3,1.8,4.0,2,16.53
26.0,Male,47.7,1.77,198,120,69,1.15,759.0,Strength,24.8,2.7,3.0,2,15.23
27.0,Male,108.0,1.8,174,122,70,1.38,926.0,Cardio,28.6,2.5,4.0,2,33.33
45.0,Female,41.2,1.58,195,168,71,1.47,1111.0,HIIT,28.7,2.6,2.0,1,16.5
37.0,Male,103.5,1.89,175,168,57,0.54,499.0,Cardio,26.4,3.1,2.0,1,28.97
35.0,Female,55.3,1.56,187,139,56,1.71,1188.0,Strength,19.8,2.7,5.0,3,22.72
52.0,Female,59.7,1.71,169,151,58,1.23,836.0,Strength,34.3,2.0,3.0,1,20.42
28.0,Female,52.0,1.61,168,164,70,1.32,1082.0,Yoga,27.9,2.0,3.0,2,20.06
41.0,Female,64.9,1.57,166,123,53,1.04,576.0,HIIT,25.9,2.4,4.0,2,26.33
25.0,Male,112.4,1.96,188,135,72,1.42,1054.0,Cardio,23.2,2.5,2.0,1,29.26
20.0,Female,72.6,1.73,199,160,68,1.27,1016.0,HIIT,34.8,2.5,3.0,2,24.26
31.0,Female,79.7,1.54,184,144,59,1.03,742.0,Cardio,26.7,2.3,,2,33.61
50.0,Female,56.5,1.6,196,140,61,1.88,1184.0,Yoga,19.2,2.7,5.0,3,22.07
38.0,Male,88.4,1.79,182,138,68,1.74,1321.0,Yoga,12.5,3.5,,3,27.59
20.0,Female,64.3,1.78,188,137,61,1.71,1171.0,Cardio,18.7,2.7,4.0,3,20.29
35.0,Female,44.6,1.62,196,157,65,0.56,440.0,HIIT,32.4,2.0,,1,16.99
44.0,Female,59.1,1.52,177,136,56,1.58,967.0,Yoga,18.4,2.7,5.0,3,25.58
41.0,Female,63.4,1.59,162,153,55,1.84,1267.0,HIIT,15.2,2.7,5.0,3,25.08
54.0,Female,67.5,1.54,182,140,50,0.72,454.0,Cardio,25.2,1.5,3.0,1,28.46
45.0,Male,88.5,1.78,198,167,67,1.53,1265.0,HIIT,13.2,3.5,4.0,3,27.93
47.0,Male,80.0,1.77,171,149,68,0.72,531.0,HIIT,28.2,3.5,3.0,1,25.54
55.0,Female,63.0,1.7,187,121,67,1.32,719.0,Strength,34.9,2.5,3.0,1,21.8
25.0,Male,66.6,1.61,184,166,56,1.38,1260.0,Strength,25.0,3.0,2.0,1,25.69
36.0,Male,84.0,1.94,168,123,50,1.8,1218.0,HIIT,11.2,3.5,5.0,3,22.32
19.0,Male,110.8,1.91,161,149,54,1.31,1074.0,Strength,23.3,2.9,2.0,1,30.37
30.0,Female,70.4,1.56,171,125,62,1.03,644.0,Yoga,34.3,2.4,4.0,2,28.93
26.0,Male,55.7,1.68,182,129,54,1.13,802.0,Yoga,21.7,2.9,3.0,1,19.73
55.0,Female,76.3,1.73,196,158,65,1.08,768.0,Yoga,32.0,2.6,3.0,1,25.49
46.0,Male,54.4,1.72,194,161,73,0.91,725.0,Cardio,24.8,2.9,2.0,1,18.39
54.0,Male,86.0,1.93,171,163,51,1.74,1404.0,Strength,12.9,3.5,5.0,3,23.09
57.0,Male,81.4,1.86,162,145,70,1.8,1292.0,Cardio,,3.5,5.0,3,23.53
22.0,Male,71.0,1.93,162,139,53,1.42,1086.0,Yoga,21.2,2.9,4.0,2,19.06
45.0,Male,89.6,1.81,178,153,70,1.7,1287.0,Yoga,12.4,3.5,5.0,3,27.35
39.0,Female,50.3,1.61,167,128,50,1.17,749.0,HIIT,32.8,2.5,2.0,1,19.41
44.0,Male,102.3,1.63,188,129,52,1.34,856.0,Yoga,,2.6,4.0,2,38.5
40.0,Male,58.2,1.98,198,138,74,1.43,1085.0,Cardio,24.0,2.5,3.0,2,14.85
35.0,Male,62.8,1.63,184,160,63,1.41,1241.0,Cardio,21.9,3.7,4.0,2,23.64
35.0,Male,59.2,1.66,197,161,59,1.3,1151.0,Strength,21.3,3.2,3.0,1,21.48
22.0,Female,50.7,1.59,197,139,66,1.27,883.0,Strength,29.4,1.8,3.0,2,20.05
50.0,Female,69.3,1.68,182,135,51,1.2,729.0,HIIT,30.3,2.0,2.0,1,24.55
44.0,Female,69.5,1.75,192,155,69,1.02,711.0,HIIT,27.6,2.1,3.0,1,22.69
31.0,Female,48.2,1.65,163,166,60,1.1,913.0,Cardio,26.1,2.5,2.0,1,17.7
27.0,Male,88.5,1.98,161,153,53,1.8,1515.0,Cardio,11.1,3.5,4.0,3,22.57
24.0,Male,87.1,1.74,187,158,67,1.57,1364.0,Strength,10.0,3.5,4.0,3,28.77
30.0,Male,121.6,2.0,179,160,60,1.24,1091.0,Cardio,,3.3,4.0,2,30.4
42.0,Female,53.7,1.72,183,142,74,1.37,875.0,Cardio,29.8,1.6,3.0,1,18.15
34.0,Male,65.9,1.62,199,164,56,0.81,731.0,Yoga,28.8,2.2,2.0,1,25.11
18.0,Female,64.8,1.53,170,141,54,1.98,1396.0,Yoga,18.6,2.7,5.0,3,27.68
37.0,Female,71.2,1.64,162,120,73,1.11,666.0,HIIT,29.9,1.7,3.0,2,26.47
51.0,Male,88.2,1.62,163,133,72,1.56,1027.0,Cardio,11.8,3.5,4.0,3,33.61
38.0,Female,57.7,1.56,185,132,54,1.64,1082.0,HIIT,16.6,2.7,5.0,3,23.71
49.0,Female,44.1,1.65,189,133,74,1.16,694.0,HIIT,26.7,1.8,4.0,2,16.2
20.0,Male,74.8,1.75,184,121,73,1.33,885.0,Yoga,25.0,3.3,3.0,2,24.42
,Female,54.6,1.57,170,150,62,1.31,982.0,Strength,32.1,2.4,3.0,1,22.15
38.0,Female,49.7,1.51,179,145,65,1.25,906.0,HIIT,32.6,2.5,3.0,1,21.8
38.0,Male,68.7,1.92,170,150,73,1.31,1081.0,Cardio,29.0,3.0,4.0,2,18.64
58.0,Female,75.4,1.78,161,140,63,1.05,662.0,Cardio,26.0,2.5,4.0,2,23.8
59.0,Female,70.7,1.68,192,121,66,1.17,637.0,Cardio,34.9,1.9,3.0,2,25.05
,Female,58.4,1.79,164,131,56,1.6,943.0,HIIT,17.0,2.7,4.0,3,18.23
26.0,Male,47.7,1.77,198,120,69,1.15,759.0,Strength,24.8,2.7,3.0,2,15.23
44.0,Female,59.1,1.52,177,136,56,1.58,967.0,Yoga,18.4,2.7,5.0,3,25.58
54.0,Male,117.2,1.62,172,143,56,1.04,736.0,HIIT,23.1,2.3,4.0,2,44.66
21.0,Male,74.2,1.93,187,141,56,1.32,1024.0,HIIT,28.3,2.5,3.0,2,19.92
20.0,Male,124.3,1.82,194,145,63,1.25,997.0,Cardio,22.4,3.2,3.0,2,37.53
38.0,Male,91.5,1.77,178,140,74,0.8,616.0,Yoga,26.7,3.4,2.0,1,29.21
,Female,54.7,1.53,167,135,69,1.11,674.0,HIIT,26.8,2.0,4.0,2,23.37
22.0,Female,55.1,1.61,166,144,68,1.62,1166.0,HIIT,19.9,2.7,4.0,3,21.26
38.0,Male,88.4,1.79,182,138,68,1.74,1321.0,Yoga,12.5,3.5,5.0,3,27.59
20.0,Female,72.6,1.73,199,160,68,1.27,1016.0,HIIT,34.8,2.5,3.0,2,24.26
43.0,Female,48.4,1.61,190,127,69,1.28,732.0,Cardio,34.1,2.4,2.0,1,18.67
,Female,41.2,1.62,193,144,64,1.49,1073.0,Yoga,28.9,2.1,4.0,2,15.7
59.0,Female,70.7,1.68,192,121,66,1.17,637.0,Cardio,34.9,1.9,3.0,2,25.05
39.0,Male,105.5,1.99,199,133,71,0.81,593.0,HIIT,26.4,2.5,2.0,1,26.64
,Female,59.1,1.52,177,136,56,1.58,967.0,Yoga,18.4,2.7,5.0,3,25.58
55.0,Male,87.5,1.88,191,134,73,1.19,789.0,Yoga,27.2,2.6,4.0,2,24.76
26.0,Male,127.6,1.73,167,160,62,1.32,1162.0,Strength,27.3,2.9,,1,42.63
19.0,Male,72.0,1.94,199,148,62,1.17,952.0,Yoga,24.7,3.2,3.0,2,19.13
22.0,Female,78.5,1.7,177,138,66,1.36,938.0,Strength,31.9,2.1,4.0,2,27.16
37.0,Female,53.0,1.71,184,156,50,1.13,881.0,Yoga,28.1,1.7,4.0,2,18.13
55.0,Female,63.0,1.7,187,121,67,1.32,719.0,Strength,34.9,2.5,3.0,1,21.8
27.0,Male,104.3,1.68,162,135,62,1.28,950.0,Cardio,29.7,3.5,3.0,2,36.95
33.0,Female,40.5,1.63,181,147,66,1.07,786.0,Yoga,31.9,1.5,4.0,2,15.24
42.0,Male,73.5,1.63,188,136,68,0.52,350.0,Strength,26.1,3.2,3.0,1,27.66
37.0,Female,53.0,1.71,184,156,50,1.13,881.0,Yoga,28.1,1.7,4.0,2,18.13
53.0,Male,73.4,1.76,169,151,70,1.09,815.0,Yoga,27.9,2.8,3.0,2,23.7
40.0,Male,106.5,1.65,162,162,74,1.32,1176.0,HIIT,21.0,3.6,4.0,2,39.12
43.0,Female,61.5,1.58,165,149,50,1.86,1247.0,HIIT,16.8,2.7,5.0,3,24.64
40.0,Female,70.0,1.55,171,163,74,0.85,693.0,Yoga,31.1,1.5,3.0,1,29.14
26.0,Female,72.8,1.67,163,121,50,1.37,829.0,Strength,35.0,1.9,2.0,1,26.1
55.0,Female,76.3,1.73,196,158,65,1.08,768.0,Yoga,32.0,2.6,3.0,1,25.49
53.0,Female,55.8,1.55,171,141,54,1.12,711.0,Strength,27.0,1.8,4.0,2,23.23
46.0,Female,47.9,1.72,171,147,57,1.41,933.0,Cardio,26.3,2.0,3.0,1,16.19
32.0,Male,102.8,1.98,168,120,61,1.24,818.0,Strength,27.8,2.8,3.0,2,26.22
58.0,Female,74.8,1.69,175,162,53,1.28,933.0,Strength,32.8,2.3,,2,26.19
53.0,Male,105.1,1.84,176,130,62,0.69,444.0,Cardio,23.3,2.9,3.0,1,31.04
48.0,Male,83.9,1.82,176,149,70,1.9,1401.0,HIIT,13.1,3.5,5.0,3,25.33
44.0,Female,69.5,1.75,192,155,69,1.02,711.0,HIIT,27.6,2.1,3.0,1,22.69
23.0,Male,83.1,1.8,185,162,56,0.7,624.0,Strength,29.3,3.1,3.0,1,25.65
43.0,Male,95.7,1.77,198,151,50,1.08,807.0,HIIT,24.2,3.4,3.0,1,30.55
18.0,Female,63.9,1.59,185,125,50,1.87,1169.0,Strength,16.4,2.7,4.0,3,25.28
31.0,Female,57.9,1.56,161,124,50,1.8,1116.0,Yoga,,2.7,5.0,3,23.79
36.0,Male,95.8,1.86,193,129,65,1.37,972.0,HIIT,21.2,3.2,3.0,1,27.69
32.0,Male,85.9,1.6,176,145,60,1.99,1587.0,HIIT,14.5,3.5,5.0,3,33.55
27.0,Male,89.3,1.87,169,153,62,1.62,1363.0,Strength,12.7,3.5,5.0,3,25.54
